19930209a,구상회화의 재조명 시리즈展,인물화*** 삶의 표정,exhibition,곽성동,길,MDF에 유채,90×100cm,1993,https://neolook.com/archives/1993020901a.jpg
19930209a,구상회화의 재조명 시리즈展,인물화*** 삶의 표정,exhibition,김해성,신세대(新世代),판넬에 혼합재료,104×67m,1992 ,https://neolook.com/archives/1993020903a.jpg
19930209a,구상회화의 재조명 시리즈展,인물화*** 삶의 표정,exhibition,김호석,소외 된 삶,종이에 수묵채색,187×97cm,1993,https://neolook.com/archives/1993020904a.jpg
19930209a,구상회화의 재조명 시리즈展,인물화*** 삶의 표정,exhibition,류성하,연평아재,캔버스에 유채,112.1×145.5cm,1988,https://neolook.com/archives/1993020906a.jpg
19930209a,구상회화의 재조명 시리즈展,인물화*** 삶의 표정,exhibition,서용선,폭력의 기억,한지에 아크릴채색,78×52cm,1992 ,https://neolook.com/archives/1993020907a.jpg
19930209a,구상회화의 재조명 시리즈展,인물화*** 삶의 표정,exhibition,심현희,내일,헝겊에 수묵채색,141×177m,1989,https://neolook.com/archives/1993020908a.jpg
19930209a,구상회화의 재조명 시리즈展,인물화*** 삶의 표정,exhibition,정동암,은폐된 사가(史家) Ⅱ,캔버스에 아크릴채색,127×152cm,1992,https://neolook.com/archives/1993020910a.jpg
19930209a,구상회화의 재조명 시리즈展,인물화*** 삶의 표정,exhibition,정병국,경유지(經由地),캔버스에 아크릴채색,75×53cm,1992 ,https://neolook.com/archives/1993020911a.jpg
19930209a,구상회화의 재조명 시리즈展,인물화*** 삶의 표정,exhibition,정일,어제 오후,캔버스에 유채,135×135cm,1992,https://neolook.com/archives/1993020912a.jpg
19930209a,구상회화의 재조명 시리즈展,인물화*** 삶의 표정,exhibition,조덕현,어떤 여성사,캔버스에 콘테 아크릴,117×91cm,1992,https://neolook.com/archives/1993020913a.jpg
19930209a,구상회화의 재조명 시리즈展,인물화*** 삶의 표정,exhibition,진원장,꿈,유화,60.5×72.5cm,1990,https://neolook.com/archives/1993020914a.jpg
19930209a,구상회화의 재조명 시리즈展,인물화*** 삶의 표정,exhibition,허진,유전,여러 종이에 수묵채색,130×160cm,1991 ,https://neolook.com/archives/1993020915a.jpg
19931126a,오숙환展 / OHSOOKHWAN / 吳淑煥 / painting,근원적인 생명의 힘,solo exhibition,오숙환,눈물(울보구름),한지에 먹 채색,113×28.5cm,1993,https://neolook.com/archives/1993112601a.jpg
19931126a,오숙환展 / OHSOOKHWAN / 吳淑煥 / painting,근원적인 생명의 힘,solo exhibition,오숙환,초생달,한지에 먹 채색,18×97.5cm,1993,https://neolook.com/archives/1993112603a.jpg
