20140102a,이동연展 / LEEDONGYEON / 李東娟 / painting,미인도,solo exhibition,이동연,환유(幻遊),장지에 백묘 부분채색,162×122cm,2013,https://neolook.com/archives/2014010201a.jpg
20140102a,이동연展 / LEEDONGYEON / 李東娟 / painting,미인도,solo exhibition,이동연,가벼운 짐?,장지에 담채,162×122cm,2013,https://neolook.com/archives/2014010202a.jpg
20140102a,이동연展 / LEEDONGYEON / 李東娟 / painting,미인도,solo exhibition,이동연,야단법석(野壇法席),장지에 담채,162×122cm,2013,https://neolook.com/archives/2014010203a.jpg
20140102a,이동연展 / LEEDONGYEON / 李東娟 / painting,미인도,solo exhibition,이동연,고요,장지에 담채,162×122cm,2013,https://neolook.com/archives/2014010204a.jpg
20140102a,이동연展 / LEEDONGYEON / 李東娟 / painting,미인도,solo exhibition,이동연,동심(童心),장지에 담채,122×162cm,2013,https://neolook.com/archives/2014010205a.jpg
20140102a,이동연展 / LEEDONGYEON / 李東娟 / painting,미인도,solo exhibition,이동연,혼자 아니면 둘,흑피운용지에 담채,162×122cm,2013,https://neolook.com/archives/2014010206a.jpg
20140102a,이동연展 / LEEDONGYEON / 李東娟 / painting,미인도,solo exhibition,이동연,빈자(貧者)의 섬,한지에 발묵채색,119.5cm,2013,https://neolook.com/archives/2014010207a.jpg
20140102b,김지영展 / KIMJIYOUNG / 金芝英 / mixed media,㈜김지영출판사,solo exhibition,김지영,마트 어보,인쇄책자,가변설치,2013,https://neolook.com/archives/2014010202b.jpg
20140102c,고재욱展 / KOHJAEWOOK / 高在旭 / media art.mixed media,Never Let Me go,solo exhibition,고재욱,Die for-you can sing but you can not,혼합재료,185×185×185cm,2013,https://neolook.com/archives/2014010201c.jpg
20140102c,고재욱展 / KOHJAEWOOK / 高在旭 / media art.mixed media,Never Let Me go,solo exhibition,고재욱,Never Let Me Go 프로젝트,옛 연인들의 물건들을 일정기간 보관해주는 프로젝트,가변크기,2013,https://neolook.com/archives/2014010204c.jpg
20140102c,고재욱展 / KOHJAEWOOK / 高在旭 / media art.mixed media,Never Let Me go,solo exhibition,고재욱,Never Let Me Go 프로젝트,옛 연인들의 물건들을 일정기간 보관해주는 프로젝트,가변크기,2013,https://neolook.com/archives/2014010205c.jpg
20140102c,고재욱展 / KOHJAEWOOK / 高在旭 / media art.mixed media,Never Let Me go,solo exhibition,고재욱,Never Let Me Go 프로젝트,옛 연인들의 물건들을 일정기간 보관해주는 프로젝트,가변크기,2013,https://neolook.com/archives/2014010206c.jpg
20140103a,Here and Now展,지금*** 바로 여기,exhibition,석정인,building1,한지에 컬러페인트,60.6×72.7cm,2011,https://neolook.com/archives/2014010304a.jpg
20140103a,Here and Now展,지금*** 바로 여기,exhibition,석정인,rise,한지에 컬러페인트,65.2×90.9cm,2011,https://neolook.com/archives/2014010305a.jpg
20140103a,Here and Now展,지금*** 바로 여기,exhibition,안준영,paranoid insomnia,종이에 펜,42×72.5cm,2011,https://neolook.com/archives/2014010308a.jpg
20140103a,Here and Now展,지금*** 바로 여기,exhibition,안준영,paranoid insomnia,종이에 펜 아크릴채색,75×101cm,2012,https://neolook.com/archives/2014010309a.jpg
20140103a,Here and Now展,지금*** 바로 여기,exhibition,정진,64-2,종이에 아크릴채색,131×194cm,2012,https://neolook.com/archives/2014010310a.jpg
20140103a,Here and Now展,지금*** 바로 여기,exhibition,정진,하룻밤 사이에,종이에 아크릴채색,116×175cm,2013,https://neolook.com/archives/2014010311a.jpg
20140103b,2014_0103 ▶ 2014_0121,현대 초상화 모색,other,금릉 김현철,비구법정진영(比丘法頂眞影),비단에 진채,91×71cm,2013,https://neolook.com/archives/2014010302b.jpg
20140103b,2014_0103 ▶ 2014_0121,현대 초상화 모색,other,신영훈,문명대,종이에 수묵,165×65cm,2013,https://neolook.com/archives/2014010303b.jpg
20140103b,2014_0103 ▶ 2014_0121,현대 초상화 모색,other,권지은,퇴옹당 성철 대종사 진영(退翁堂 性徹 大宗師 眞影),견본채색,91×65cm,2013,https://neolook.com/archives/2014010304b.jpg
20140103b,2014_0103 ▶ 2014_0121,현대 초상화 모색,other,서수영,황실의 품위2012-60,금박 금니 수간채색 먹 닥종이,50×35cm,2012,https://neolook.com/archives/2014010305b.jpg
20140103b,2014_0103 ▶ 2014_0121,현대 초상화 모색,other,고찬규,낙화,한지에 채색,53×45.5cm,2013,https://neolook.com/archives/2014010306b.jpg
20140103b,2014_0103 ▶ 2014_0121,현대 초상화 모색,other,이재진,봄바라기,지본채색,130×60cm,2011,https://neolook.com/archives/2014010307b.jpg
20140103b,2014_0103 ▶ 2014_0121,현대 초상화 모색,other,임서령,은총,비단 석채,33×24cm,2013,https://neolook.com/archives/2014010308b.jpg
20140103b,2014_0103 ▶ 2014_0121,현대 초상화 모색,other,박용창,My ego NO.1,캔버스에 아크릴채색,91×73cm,2013,https://neolook.com/archives/2014010309b.jpg
20140103b,2014_0103 ▶ 2014_0121,현대 초상화 모색,other,백지혜,꽃단장,비단에 채색,51×41.5cm,2010,https://neolook.com/archives/2014010310b.jpg
20140103b,2014_0103 ▶ 2014_0121,현대 초상화 모색,other,황영진,괘장-딴전을 부리다,수묵담채,45×60cm,2013,https://neolook.com/archives/2014010311b.jpg
20140103b,2014_0103 ▶ 2014_0121,현대 초상화 모색,other,박순철,향기,한지수묵,80×55cm,2013,https://neolook.com/archives/2014010312b.jpg
20140103b,2014_0103 ▶ 2014_0121,현대 초상화 모색,other,김유진,순종 어진,견에 전통채색(석채 금박),161×101cm,2013,https://neolook.com/archives/2014010313b.jpg
20140103b,2014_0103 ▶ 2014_0121,현대 초상화 모색,other,허용성,marmotte twins,한지에 채색,70×70cm,2012,https://neolook.com/archives/2014010315b.jpg
20140103d,2014 DF 작가展,프로포즈,exhibition,최혜경,Dear Veronica,2011 / 최혜경,Will You Marry Me,2013,https://neolook.com/archives/2014010302d.jpg
