20090103g,이배경展 / LEEBEIKYUNG / 李培炅 / interactive media installation,Repeated Freedom,solo exhibition,이배경,Repeated Freedom #2,인터랙티브 비디오&오디오 설치,230×150×150cm,2009,https://neolook.com/archives/2009010302g.jpg
20090103g,이배경展 / LEEBEIKYUNG / 李培炅 / interactive media installation,Repeated Freedom,solo exhibition,이배경,Episode #2,인터랙티브 비디오&오디오 설치,가변크기,2009,https://neolook.com/archives/2009010305g.jpg
20090103g,이배경展 / LEEBEIKYUNG / 李培炅 / interactive media installation,Repeated Freedom,solo exhibition,이배경,Insel,인터랙티브 비디오 설치,가변크기,2009,https://neolook.com/archives/2009010307g.jpg
20090103h,신동원展 / SHINDONGWON / 申東媛 / ceramic.installation,이정섭과 친구들 part 1 신동원,solo exhibition,신동원,composition,압축합판과 자기에 채색,63×43cm,2007,https://neolook.com/archives/2009010301h.jpg
20090103h,신동원展 / SHINDONGWON / 申東媛 / ceramic.installation,이정섭과 친구들 part 1 신동원,solo exhibition,신동원,composition,압축합판과 자기에 채색,6×48cm,2007,https://neolook.com/archives/2009010302h.jpg
20090103h,신동원展 / SHINDONGWON / 申東媛 / ceramic.installation,이정섭과 친구들 part 1 신동원,solo exhibition,신동원,a moment,박달나무 합판 자기,72×73×20cm,2007,https://neolook.com/archives/2009010303h.jpg
20090103h,신동원展 / SHINDONGWON / 申東媛 / ceramic.installation,이정섭과 친구들 part 1 신동원,solo exhibition,신동원,a tea bowl,박달나무 합판 자기,30×23cm,2007,https://neolook.com/archives/2009010305h.jpg
20090104a,박대조展 / PARKDAECHO / 朴大祚 / painting,THE HEART OF CHILD-DOLL SERIES,solo exhibition,박대조,Beginning & ending,trancyparency in light box color chang adaptation,153×115cm,2008,https://neolook.com/archives/2009010401a.jpg
20090104a,박대조展 / PARKDAECHO / 朴大祚 / painting,THE HEART OF CHILD-DOLL SERIES,solo exhibition,박대조,A maternal instinct,trancyparency in light box color chang adaptation,144×115cm,2008,https://neolook.com/archives/2009010402a.jpg
20090104a,박대조展 / PARKDAECHO / 朴大祚 / painting,THE HEART OF CHILD-DOLL SERIES,solo exhibition,박대조,Greed,trancyparency in light box color chang adaptation,144×115cm,2008,https://neolook.com/archives/2009010403a.jpg
20090104a,박대조展 / PARKDAECHO / 朴大祚 / painting,THE HEART OF CHILD-DOLL SERIES,solo exhibition,박대조,Greed,trancyparency in light box color chang adaptation,144×115cm,2008,https://neolook.com/archives/2009010404a.jpg
20090104a,박대조展 / PARKDAECHO / 朴大祚 / painting,THE HEART OF CHILD-DOLL SERIES,solo exhibition,박대조,Purity,trancyparency in light box color chang adaptation,151×115cm,2008,https://neolook.com/archives/2009010405a.jpg
20090104a,박대조展 / PARKDAECHO / 朴大祚 / painting,THE HEART OF CHILD-DOLL SERIES,solo exhibition,박대조,stubbornness,trancyparency in light box color chang adaptation,152.4×115cm,2008,https://neolook.com/archives/2009010406a.jpg
20090104a,박대조展 / PARKDAECHO / 朴大祚 / painting,THE HEART OF CHILD-DOLL SERIES,solo exhibition,박대조,The unknown world,trancyparency in light box color chang adaptation,153.4×115cm,2008,https://neolook.com/archives/2009010407a.jpg
20090104b,노진아展 / ROHJINAH / 盧眞娥 / interactive installation.sculpture,미생물_未生物,solo exhibition,노진아,무제,레진에 유채,160×100×15cm,2008,https://neolook.com/archives/2009010406b.jpg
20090104c,2009_0102 ▶ 2009_0107,ART GANG_아르갱 출범展,other,서평주,The E T's,신문에 아크릴패색,55×39cm,2008,https://neolook.com/archives/2009010402c.jpg
20090104c,2009_0102 ▶ 2009_0107,ART GANG_아르갱 출범展,other,이종담,일상속의 예술,혼합재료,가변설치,2008,https://neolook.com/archives/2009010403c.jpg
20090104c,2009_0102 ▶ 2009_0107,ART GANG_아르갱 출범展,other,김종흠,찰나,화선지에 수묵,130×324cm,2008,https://neolook.com/archives/2009010404c.jpg
20090104c,2009_0102 ▶ 2009_0107,ART GANG_아르갱 출범展,other,김지훈,굿바이 오드리,캔버스에 페인트탄으로 슈팅 페인팅,162×130cm,2008,https://neolook.com/archives/2009010405c.jpg
20090104c,2009_0102 ▶ 2009_0107,ART GANG_아르갱 출범展,other,김호빈,별들의 노래,혼합재료,40×40×40cm,2008,https://neolook.com/archives/2009010406c.jpg
20090104c,2009_0102 ▶ 2009_0107,ART GANG_아르갱 출범展,other,이영식,난 너무 예뻐요,캔버스에 유채,53×45cm,2008,https://neolook.com/archives/2009010407c.jpg
20090104c,2009_0102 ▶ 2009_0107,ART GANG_아르갱 출범展,other,정안용,백연,혼합재료,80×50×40cm,2008,https://neolook.com/archives/2009010408c.jpg
20090104d,나현展 / NAHYUN / 羅賢 / mixed media,실종 MISSING,solo exhibition,나현,No12,캔버스에 페인트 바니쉬,179×130cm,2008,https://neolook.com/archives/2009010402d.jpg
20090104e,책임기획_Horatiu Gratian Stefan,The new portrait,other,박진홍,Self Portrait,캔버스에 유채,30.3×97cm,2007,https://neolook.com/archives/2009010403e.jpg
20090104e,책임기획_Horatiu Gratian Stefan,The new portrait,other,박우식,Avarice-Roy,캔버스에 유채,122×122cm,2008,https://neolook.com/archives/2009010404e.jpg
20090104e,책임기획_Horatiu Gratian Stefan,The new portrait,other,우국원,Blue Face,캔버스에 유채,116×91cm,2008,https://neolook.com/archives/2009010405e.jpg
20090104f,이소영展 / LEESOYOUNG / 李昭暎 / mixed media,Studio in Studio,solo exhibition,이소영,밤-두개의 세계,C 프린트,117×180cm,2008,https://neolook.com/archives/2009010401f.jpg
20090104f,이소영展 / LEESOYOUNG / 李昭暎 / mixed media,Studio in Studio,solo exhibition,이소영,오후-무한한 각성,잉크젯 프린트,170×85cm,2008,https://neolook.com/archives/2009010402f.jpg
20090104f,이소영展 / LEESOYOUNG / 李昭暎 / mixed media,Studio in Studio,solo exhibition,이소영,텅 빈 작업실,아크릴,67×27×150cm,2008,https://neolook.com/archives/2009010403f.jpg
20090104f,이소영展 / LEESOYOUNG / 李昭暎 / mixed media,Studio in Studio,solo exhibition,이소영,아침-차가운 의식,혼합재료,52×32×12cm,2008,https://neolook.com/archives/2009010404f.jpg
20090104f,이소영展 / LEESOYOUNG / 李昭暎 / mixed media,Studio in Studio,solo exhibition,이소영,저녁-불안,잉크젯 프린트,115×74cm,2008,https://neolook.com/archives/2009010405f.jpg
20090104g,김과 현씨_박은영_이철현展,Emerging 9,exhibition,김과 현씨,바나나맛 우유 시리즈-비글 2분의 1모형,철골 PET,220×240×240cm,2007,https://neolook.com/archives/2009010402g.jpg
20090104g,김과 현씨_박은영_이철현展,Emerging 9,exhibition,김과 현씨,바나나맛 우유 시리즈,드로잉,A3,2007,https://neolook.com/archives/2009010403g.jpg
20090104g,김과 현씨_박은영_이철현展,Emerging 9,exhibition,이철현,Superstar II,아연철선 분채도장,300×170×120cm,2008,https://neolook.com/archives/2009010404g.jpg
20090104g,김과 현씨_박은영_이철현展,Emerging 9,exhibition,이철현,남자의 갑옷,아연철선 크롬도금,180×90×50cm,2007,https://neolook.com/archives/2009010405g.jpg
20090104g,김과 현씨_박은영_이철현展,Emerging 9,exhibition,박은영,Deux Lapins(두 토끼),단채널 비디오,00:03:32,2002,https://neolook.com/archives/2009010407g.jpg
20090105a,윤여범展 / YOONYEOBEOM / 尹汝梵 / drawing,UGLY CHARACTER (WHY UGLY ?),solo exhibition,윤여범,UGLY CHARACTER 08133(WHY UGLY ?),종이에 연필,109×78.8cm,2008,https://neolook.com/archives/2009010501a.jpg
20090105a,윤여범展 / YOONYEOBEOM / 尹汝梵 / drawing,UGLY CHARACTER (WHY UGLY ?),solo exhibition,윤여범,UGLY CHARACTER 08132(WHY UGLY ?),종이에 연필,109×78.8cm,2008,https://neolook.com/archives/2009010502a.jpg
20090105a,윤여범展 / YOONYEOBEOM / 尹汝梵 / drawing,UGLY CHARACTER (WHY UGLY ?),solo exhibition,윤여범,UGLY CHARACTER 08128(WHY UGLY ?),종이에 연필,109×78.8cm,2008,https://neolook.com/archives/2009010503a.jpg
20090105a,윤여범展 / YOONYEOBEOM / 尹汝梵 / drawing,UGLY CHARACTER (WHY UGLY ?),solo exhibition,윤여범,UGLY CHARACTER 08120(WHY UGLY ?),종이에 연필 크레파스,109×78.8cm,2008,https://neolook.com/archives/2009010504a.jpg
20090105a,윤여범展 / YOONYEOBEOM / 尹汝梵 / drawing,UGLY CHARACTER (WHY UGLY ?),solo exhibition,윤여범,UGLY CHARACTER 08113(WHY UGLY ?),종이에 연필 크레파스,78.8×109cm,2008,https://neolook.com/archives/2009010505a.jpg
20090105c,2009_0105 ▶ 2009_0130 / 일***공휴일 휴관,Collection n Collection 2,other,김웅,Untitled 51-08,캔버스에 유채,51×61cm,2007~2008,https://neolook.com/archives/2009010502c.jpg
20090105c,2009_0105 ▶ 2009_0130 / 일***공휴일 휴관,Collection n Collection 2,other,김근중,Natural Being 6-30,캔버스에 아크릴채색,80×160cm,2006,https://neolook.com/archives/2009010503c.jpg
20090105c,2009_0105 ▶ 2009_0130 / 일***공휴일 휴관,Collection n Collection 2,other,유선윤,Tears of Love,한지에 분채 아크릴채색,80.3×100cm,2007,https://neolook.com/archives/2009010505c.jpg
20090105d,2009_0105 ▶ 2009_0310,함께*** 숨쉬기展,other,김명진,자라나는 집,하드보드에 먹 한지 꼴라쥬,45×65cm,2008,https://neolook.com/archives/2009010503d.jpg
20090105d,2009_0105 ▶ 2009_0310,함께*** 숨쉬기展,other,박건희,퍼포먼스 후의 오브제,혼합재료,가변설치,2008,https://neolook.com/archives/2009010504d.jpg
20090105d,2009_0105 ▶ 2009_0310,함께*** 숨쉬기展,other,조지연,self,캔버스에 유채,53×46cm,2008,https://neolook.com/archives/2009010505d.jpg
20090105d,2009_0105 ▶ 2009_0310,함께*** 숨쉬기展,other,김종희,성급한 틈새,혼합재료,가변설치,2008,https://neolook.com/archives/2009010507d.jpg
20090105e,2009_0109 ▶ 2009_0207 / 일요일 휴관,배찬효展 / BAECHANHYO / 裵燦孝 / photography,other,배찬효,Existing in Costume 12,C 프린트,120×96cm,2008,https://neolook.com/archives/2009010501e.jpg
20090105e,2009_0109 ▶ 2009_0207 / 일요일 휴관,배찬효展 / BAECHANHYO / 裵燦孝 / photography,other,배찬효,Existing in Costume 13,C 프린트,120×96cm,2008,https://neolook.com/archives/2009010502e.jpg
20090105e,2009_0109 ▶ 2009_0207 / 일요일 휴관,배찬효展 / BAECHANHYO / 裵燦孝 / photography,other,배찬효,Existing in Costume 14,C 프린트,120×96cm,2008,https://neolook.com/archives/2009010503e.jpg
20090105e,2009_0109 ▶ 2009_0207 / 일요일 휴관,배찬효展 / BAECHANHYO / 裵燦孝 / photography,other,배찬효,Existing in Costume 15,C 프린트,120×96cm,2008,https://neolook.com/archives/2009010504e.jpg
