20160102d,김가을展 / KIMGAEUL / 金可乙 / mixed media,상(像)*** 상(上)*** 상(想) 하다,solo exhibition,김가을,상 상 상하다,판화지에 혼합재료 야광,66×46cm,2015,https://neolook.com/archives/2016010201d.jpg
20160102d,김가을展 / KIMGAEUL / 金可乙 / mixed media,상(像)*** 상(上)*** 상(想) 하다,solo exhibition,김가을,상 상 상하다,판화지에 혼합재료 야광,66×46cm,2015,https://neolook.com/archives/2016010202d.jpg
20160102d,김가을展 / KIMGAEUL / 金可乙 / mixed media,상(像)*** 상(上)*** 상(想) 하다,solo exhibition,김가을,상 상 상하다,판화지에 혼합재료 야광,66×46cm,2015,https://neolook.com/archives/2016010203d.jpg
20160102d,김가을展 / KIMGAEUL / 金可乙 / mixed media,상(像)*** 상(上)*** 상(想) 하다,solo exhibition,김가을,상 상 상하다,판화지에 혼합재료 야광,66×46cm,2015,https://neolook.com/archives/2016010204d.jpg
20160102e,최아영展 / CHOIAHYOUNG / 崔娥英 / sculpture,곰이야기,solo exhibition,최아영,곰 이야기,조합토,69×37×27cm,2015,https://neolook.com/archives/2016010201e.jpg
20160102e,최아영展 / CHOIAHYOUNG / 崔娥英 / sculpture,곰이야기,solo exhibition,최아영,마음의 소리,천 솜,가변설치,2015,https://neolook.com/archives/2016010203e.jpg
20160102e,최아영展 / CHOIAHYOUNG / 崔娥英 / sculpture,곰이야기,solo exhibition,최아영,마음의 소리,천 솜,가변설치,2015,https://neolook.com/archives/2016010204e.jpg
20160102e,최아영展 / CHOIAHYOUNG / 崔娥英 / sculpture,곰이야기,solo exhibition,최아영,초상화(portrait),조합토 산백토 흑토,950×130cm,2015,https://neolook.com/archives/2016010205e.jpg
20160102e,최아영展 / CHOIAHYOUNG / 崔娥英 / sculpture,곰이야기,solo exhibition,최아영,자화상(self-portrait),조합토 흑토,28×22×22m,2015,https://neolook.com/archives/2016010206e.jpg
20160102e,최아영展 / CHOIAHYOUNG / 崔娥英 / sculpture,곰이야기,solo exhibition,최아영,한림로401번길(unit),조합토 아크릴채색,42×36×5cm,2015,https://neolook.com/archives/2016010208e.jpg
20160102e,최아영展 / CHOIAHYOUNG / 崔娥英 / sculpture,곰이야기,solo exhibition,최아영,한림로401번길,조합토 산백토 흑토 아크릴채색,가변설치,2016,https://neolook.com/archives/2016010209e.jpg
20160104b,오윤화展 / OHYUNHWA / 吳潤花 / painting,바다를 품은 정원,solo exhibition,오윤화,나의 정원 My garden,장지에 분채,112×145.5cm,2015,https://neolook.com/archives/2016010401b.jpg
20160104b,오윤화展 / OHYUNHWA / 吳潤花 / painting,바다를 품은 정원,solo exhibition,오윤화,붉은 정원 Red garden,장지에 분채,72.7×91cm,2015,https://neolook.com/archives/2016010402b.jpg
20160104b,오윤화展 / OHYUNHWA / 吳潤花 / painting,바다를 품은 정원,solo exhibition,오윤화,담 Wall,장지에 분채,145.5×112cm,2015,https://neolook.com/archives/2016010403b.jpg
20160104b,오윤화展 / OHYUNHWA / 吳潤花 / painting,바다를 품은 정원,solo exhibition,오윤화,Frame,장지에 분채 먹,45.5×37.9cm,2015,https://neolook.com/archives/2016010404b.jpg
20160104b,오윤화展 / OHYUNHWA / 吳潤花 / painting,바다를 품은 정원,solo exhibition,오윤화,겨울,장지에 분채,45.5×37.9cm,2014,https://neolook.com/archives/2016010405b.jpg
20160104b,오윤화展 / OHYUNHWA / 吳潤花 / painting,바다를 품은 정원,solo exhibition,오윤화,풍선 Ⅱ,장지에 분채,130.3×97cm,2014,https://neolook.com/archives/2016010406b.jpg
20160104b,오윤화展 / OHYUNHWA / 吳潤花 / painting,바다를 품은 정원,solo exhibition,오윤화,생,장지에 분채,130.3×162cm,2013,https://neolook.com/archives/2016010407b.jpg
20160104b,오윤화展 / OHYUNHWA / 吳潤花 / painting,바다를 품은 정원,solo exhibition,오윤화,생 Ⅱ,장지에 분채,91×72.7cm,2013,https://neolook.com/archives/2016010408b.jpg
20160104b,오윤화展 / OHYUNHWA / 吳潤花 / painting,바다를 품은 정원,solo exhibition,오윤화,바래다 Ⅱ,장지에 분채,116.8×91cm,2012,https://neolook.com/archives/2016010409b.jpg
20160104b,오윤화展 / OHYUNHWA / 吳潤花 / painting,바다를 품은 정원,solo exhibition,오윤화,carnival Ⅱ,장지에 분채,130.3×97cm,2014,https://neolook.com/archives/2016010410b.jpg
20160105a,최소윤展 / CHOISOYOON / 崔櫯尹 / painting,동경(憧憬)하다,solo exhibition,최소윤,동경(憧憬)하다3,견에 채색,72.7×72.7cm,2015,https://neolook.com/archives/2016010501a.jpg
20160105a,최소윤展 / CHOISOYOON / 崔櫯尹 / painting,동경(憧憬)하다,solo exhibition,최소윤,동경(憧憬)하다10,장지에 채색,91×91cm,2015,https://neolook.com/archives/2016010502a.jpg
20160105a,최소윤展 / CHOISOYOON / 崔櫯尹 / painting,동경(憧憬)하다,solo exhibition,최소윤,동경(憧憬)하다12,장지에 채색,130.3×162.2cm,2015,https://neolook.com/archives/2016010503a.jpg
