20040106a,강미경_김정원_민미정_최유정_최원정展,Virtual Eden,exhibition,최유정,Stranger,디지털 프린트,136.6×99cm,2004,https://neolook.com/archives/2004010601a.jpg
20040106a,강미경_김정원_민미정_최유정_최원정展,Virtual Eden,exhibition,최유정,Virtual Eden,디지털 프린트,91×56cm×3,2004,https://neolook.com/archives/2004010602a.jpg
20040106a,강미경_김정원_민미정_최유정_최원정展,Virtual Eden,exhibition,김정원,Desire,혼합재료,82×82cm×3,2004,https://neolook.com/archives/2004010603a.jpg
20040106a,강미경_김정원_민미정_최유정_최원정展,Virtual Eden,exhibition,민미정,Unreachable,혼합재료,설치,2004,https://neolook.com/archives/2004010604a.jpg
20040106a,강미경_김정원_민미정_최유정_최원정展,Virtual Eden,exhibition,강미경,"""http://""",캔버스에 아크릴채색,90×120cm,2004,https://neolook.com/archives/2004010605a.jpg
20040106a,강미경_김정원_민미정_최유정_최원정展,Virtual Eden,exhibition,최원정,Why not here,컴퓨터 설치,가변크기,2004,https://neolook.com/archives/2004010606a.jpg
20040107a,성곡미술관 6기 인턴 큐레이터 기획展,상상 다이어트,exhibition,신영미,나르시소스시,캔버스에 아크릴채색,190×80cm,2003,https://neolook.com/archives/2004010701a.jpg
20040107a,성곡미술관 6기 인턴 큐레이터 기획展,상상 다이어트,exhibition,원재란,인형놀이,캔버스에 아크릴채색,116×91cm,2003,https://neolook.com/archives/2004010702a.jpg
20040107a,성곡미술관 6기 인턴 큐레이터 기획展,상상 다이어트,exhibition,이서미,Friday,모노타이프,2003,부분,https://neolook.com/archives/2004010703a.jpg
20040107a,성곡미술관 6기 인턴 큐레이터 기획展,상상 다이어트,exhibition,이정승원,마를린 먼로,포스트 잇,90×72cm,2003,https://neolook.com/archives/2004010704a.jpg
20040107a,성곡미술관 6기 인턴 큐레이터 기획展,상상 다이어트,exhibition,전신덕,요즈음 사람들,철 자석 아크릴채색,가변크기,2003,https://neolook.com/archives/2004010705a.jpg
20040107a,성곡미술관 6기 인턴 큐레이터 기획展,상상 다이어트,exhibition,배성미,입구의 차이,혼합재료,가변크기,2003,https://neolook.com/archives/2004010706a.jpg
