20060102a,이김천展 / LEEGIMCHEON / 李金泉 / painting,나는 야 상팔자,solo exhibition,이김천,나는 야 상팔자,장지에 채색,74×105cm,2005,https://neolook.com/archives/2006010201a.jpg
20060102a,이김천展 / LEEGIMCHEON / 李金泉 / painting,나는 야 상팔자,solo exhibition,이김천,개에게도 팔자가 있는가!,장지에 채색,105×150cm,2005,https://neolook.com/archives/2006010202a.jpg
20060102a,이김천展 / LEEGIMCHEON / 李金泉 / painting,나는 야 상팔자,solo exhibition,이김천,마하 반야,장지에 채색,74×105cm,2005,https://neolook.com/archives/2006010204a.jpg
20060102a,이김천展 / LEEGIMCHEON / 李金泉 / painting,나는 야 상팔자,solo exhibition,이김천,반야 위에 마하,장지에 채색,90×53cm,2005,https://neolook.com/archives/2006010205a.jpg
20060102a,이김천展 / LEEGIMCHEON / 李金泉 / painting,나는 야 상팔자,solo exhibition,이김천,나는 야 상팔자,장지에 채색,105×59cm,2005,https://neolook.com/archives/2006010206a.jpg
20060102a,이김천展 / LEEGIMCHEON / 李金泉 / painting,나는 야 상팔자,solo exhibition,이김천,나는 야 상팔자,장지에 채색,142×76cm,2006,https://neolook.com/archives/2006010207a.jpg
20060104a,이상룡展 / installation,사물의 모양,solo exhibition,이상룡,어렴풋이 느끼는 장소,스티로폼 구,가변크기,2005,/archives/2006010401a.gif
20060104a,이상룡展 / installation,사물의 모양,solo exhibition,이상룡,休,캔버스에 아크릴채색,61×73cm,2005,https://neolook.com/archives/2006010402a.jpg
20060104a,이상룡展 / installation,사물의 모양,solo exhibition,이상룡,그늘이 진 창,나무에 안료,46×108cm,2005,https://neolook.com/archives/2006010403a.jpg
20060104a,이상룡展 / installation,사물의 모양,solo exhibition,이상룡,allusion,캔버스에 안료,130×80cm,2005,https://neolook.com/archives/2006010404a.jpg
20060104a,이상룡展 / installation,사물의 모양,solo exhibition,이상룡,Untitled,나무에 안료,120×123cm,2005,https://neolook.com/archives/2006010406a.jpg
20060104c,고영미_김정향_이보람_정현주_허보리展,타인에게서 숨쉬다 - '다섯 개의 방',exhibition,고영미,12월의 풍경,한지붙이기 채색 먹 콘테,130×70cm×2폭 병풍,2005,https://neolook.com/archives/2006010401c.jpg
20060104c,고영미_김정향_이보람_정현주_허보리展,타인에게서 숨쉬다 - '다섯 개의 방',exhibition,김정향,다같이 때밀기,장지에 수묵담채,90×180cm,2005,https://neolook.com/archives/2006010402c.jpg
20060104c,고영미_김정향_이보람_정현주_허보리展,타인에게서 숨쉬다 - '다섯 개의 방',exhibition,이보람,close-up,혼합재료,23.5×32.7×8cm,2005,https://neolook.com/archives/2006010403c.jpg
20060104c,고영미_김정향_이보람_정현주_허보리展,타인에게서 숨쉬다 - '다섯 개의 방',exhibition,정현주,별이 빛나고 있어요,철망 안료 섞은 석고,60×105×15cm,2005,https://neolook.com/archives/2006010405c.jpg
20060104c,고영미_김정향_이보람_정현주_허보리展,타인에게서 숨쉬다 - '다섯 개의 방',exhibition,허보리,끼니를 거를까봐 걱정돼요,털실 천 폴리에스테르 솜 등,가변설치,2005,https://neolook.com/archives/2006010406c.jpg
20060105a,어린이를 위한 워크샵과 전시,모자와 보아뱀,other,봄로야,플라밍고 아저씨,디지털 프린트,100×150cm,2005,https://neolook.com/archives/2006010501a.jpg
20060105a,어린이를 위한 워크샵과 전시,모자와 보아뱀,other,권기수,화음,캔버스에 아크릴채색,65×45cm,2005,https://neolook.com/archives/2006010502a.jpg
20060105a,어린이를 위한 워크샵과 전시,모자와 보아뱀,other,박용식,12마리대기중,컬러인화,132×98cm,2004,https://neolook.com/archives/2006010503a.jpg
20060105a,어린이를 위한 워크샵과 전시,모자와 보아뱀,other,지연준,Elephant's Wintering 코끼리의 겨울나기,팝업카드,15×20×20cm,2005,https://neolook.com/archives/2006010505a.jpg
20060105b,김연세展 / painting,The void,solo exhibition,김연세,3F,캔버스에 아크릴채색,73×91cm,2005,https://neolook.com/archives/2006010501b.jpg
20060105b,김연세展 / painting,The void,solo exhibition,김연세,corner,캔버스에 아크릴채색,73×61cm,2005,https://neolook.com/archives/2006010502b.jpg
20060105b,김연세展 / painting,The void,solo exhibition,김연세,stairway,캔버스에 아크릴채색,73×61cm,2005,https://neolook.com/archives/2006010503b.jpg
20060105b,김연세展 / painting,The void,solo exhibition,김연세,lobby,캔버스에 아크릴채색,73×61cm,2005,https://neolook.com/archives/2006010504b.jpg
20060105b,김연세展 / painting,The void,solo exhibition,김연세,3F-Guest(1),캔버스에 아크릴채색,31.5×41cm,2005,https://neolook.com/archives/2006010505b.jpg
20060105b,김연세展 / painting,The void,solo exhibition,김연세,3F-Guest(2),캔버스에 아크릴채색,61×73cm,2005,https://neolook.com/archives/2006010506b.jpg
20060105b,김연세展 / painting,The void,solo exhibition,김연세,3F-Guest(3),캔버스에 아크릴채색,31.5×41cm,2005,https://neolook.com/archives/2006010507b.jpg
20060106a,권순학展 / KWONSOONHAK / 權純學 / photography,"HYPER-SPACE ""The Road""",solo exhibition,권순학,Stereo,흑백인화,110×110cm,2005,https://neolook.com/archives/2006010602a.jpg
20060106a,권순학展 / KWONSOONHAK / 權純學 / photography,"HYPER-SPACE ""The Road""",solo exhibition,권순학,Over The Seoul Station Part-2,디지털 프린트,16987×16580pixels,2005,https://neolook.com/archives/2006010603a.jpg
20060106a,권순학展 / KWONSOONHAK / 權純學 / photography,"HYPER-SPACE ""The Road""",solo exhibition,권순학,We ain't Suitable to Each Other,흑백인화,112×193cm,2005,https://neolook.com/archives/2006010604a.jpg
20060106a,권순학展 / KWONSOONHAK / 權純學 / photography,"HYPER-SPACE ""The Road""",solo exhibition,권순학,We Are Suitable To Each Other,디지털 프린트,7087×17717pixels,2005,https://neolook.com/archives/2006010605a.jpg
