19960206a,김영진_손기환_이동기_임희중_최민화_최지안展,시각 이미지 시대의 화가들-뷰파인더 캔버스'96,exhibition,손기환,적과 동지,종이에 실크스크린과 아크릴채색,각 지름 50cm,1995 ,https://neolook.com/archives/1996020602a.jpg
19960206a,김영진_손기환_이동기_임희중_최민화_최지안展,시각 이미지 시대의 화가들-뷰파인더 캔버스'96,exhibition,김영진,테레비 거짓말 그리고 권력,캔버스에 유채,각 91×116.8cm,1995,https://neolook.com/archives/1996020603a.jpg
19960206a,김영진_손기환_이동기_임희중_최민화_최지안展,시각 이미지 시대의 화가들-뷰파인더 캔버스'96,exhibition,이동기,인간과 영웅,캔버스에 아크릴채색,192×260cm,1991,https://neolook.com/archives/1996020604a.jpg
19960206a,김영진_손기환_이동기_임희중_최민화_최지안展,시각 이미지 시대의 화가들-뷰파인더 캔버스'96,exhibition,임희중,UNTITLED 95-Ⅰ,종이에 혼합재료,213×312cm,1995 ,https://neolook.com/archives/1996020605a.jpg
19960206a,김영진_손기환_이동기_임희중_최민화_최지안展,시각 이미지 시대의 화가들-뷰파인더 캔버스'96,exhibition,최민화,이십세기 회화의 추억,인쇄된 종이에 유채,각 38×55cm,1994 ,https://neolook.com/archives/1996020606a.jpg
