20010315a,1980년대 현실주의 미술운동을 생각한다,1980년대 리얼리즘과 그 시대 ②,other,이종구,종자,캔버스에 아크릴채색,162×131cm,1996,https://neolook.com/archives/2001031502a.jpg
20010315a,1980년대 현실주의 미술운동을 생각한다,1980년대 리얼리즘과 그 시대 ②,other,임옥상,웅덩이,캔버스에 아크릴채색,111×111cm,1976,https://neolook.com/archives/2001031503a.jpg
20010315a,1980년대 현실주의 미술운동을 생각한다,1980년대 리얼리즘과 그 시대 ②,other,홍성담,고풀이,캔버스에 아크릴채색,116×80cm,1995,https://neolook.com/archives/2001031504a.jpg
20010318a,2001_0330_금요일_07:00pm ▶ 2001_0331_토요일_05:00am,MILK CROWN,other,권오상,340장의 나른함에 관하여,컬러인화 사진접합,2000,부분,https://neolook.com/archives/2001031801a.jpg
20010320a,홍양숙 회화展,자연의 판타지,exhibition,홍양숙,양란,캔버스에 유채,60×72cm,1999,https://neolook.com/archives/2001032001a.jpg
20010322a,송만규展,섬진강*** 언 강끝에서 꽃을 줍다.,exhibition,송만규,자작나무와 아이들,한지에 수묵,57×85cm,2001,https://neolook.com/archives/2001032201a.jpg
20010322a,송만규展,섬진강*** 언 강끝에서 꽃을 줍다.,exhibition,송만규,휘도는 섬진강,한지에 수묵,66×132cm,2001,https://neolook.com/archives/2001032202a.jpg
20010326a,책임기획_진동선,미명의 새벽,other,홍순태,서울 청계천,흑백인화,14×11inch,1969,https://neolook.com/archives/2001032601a.jpg
20010327a,책임기획_강수미,"타인 ""없는"" 세상",other,홍경택,서재3,캔버스에 유채,2001,부분,https://neolook.com/archives/2001032701a.jpg
20010328a,황성준展 / HWANGSUNGJOON / 黃成俊 / mixed media,침묵의 시간 세우기,solo exhibition,황성준,108인을 위한 식탁,설치,혼합재료,2001,https://neolook.com/archives/2001032801a.jpg
20010329a,책임기획_최봉림,삶의 시간*** 시간의 얼굴,other,김옥선,방안에 선 혜정,컬러인화,125×160cm,2001,https://neolook.com/archives/2001032901a.jpg
20010329a,책임기획_최봉림,삶의 시간*** 시간의 얼굴,other,최은화,나를 닮은 아이,컬러인화,150×120cm,2000,https://neolook.com/archives/2001032902a.jpg
20010329a,책임기획_최봉림,삶의 시간*** 시간의 얼굴,other,이선민,준훈이네,컬러인화,120×120cm,2000,https://neolook.com/archives/2001032906a.jpg
20010329a,책임기획_최봉림,삶의 시간*** 시간의 얼굴,other,조용준,김완수 59세,컬러인화,100×100cm,2000,https://neolook.com/archives/2001032907a.jpg
20010330a,전민수展 / JUNMINSOO / 全敏洙 / media art,그림같은 사진*** 사진같은 그림,solo exhibition,전민수,그림사진,젤라틴 실버 프린트,11×14inch,2000,https://neolook.com/archives/2001033001a.jpg
20010401a,손정목展 / photography.video,고장난 욕망의 레이다,solo exhibition,손정목,천사의 날개를 뽑다,디지털프린트 스티커,14.8×10.5cm,2001,https://neolook.com/archives/2001040101a.jpg
20010401a,손정목展 / photography.video,고장난 욕망의 레이다,solo exhibition,손정목,pain,단채널 비디오 영상,00:08:20,1999,https://neolook.com/archives/2001040102a.jpg
20010402a,최경선展 / CHOIKYUNGSUN / 崔敬善 / painting,Return,solo exhibition,최경선,치유,캔버스에 아크릴채색,182×227cm,2001,https://neolook.com/archives/2001040201a.jpg
20010402a,최경선展 / CHOIKYUNGSUN / 崔敬善 / painting,Return,solo exhibition,최경선,Memory box,캔버스에 아크릴채색,227×182cm,2000,https://neolook.com/archives/2001040202a.jpg
20010404a,신하순展 / SHINHASOON / 申夏淳 / painting,오늘 하루,solo exhibition,신하순,생각에 잠기다-오늘하루,한지에 수묵채색,143×170cm,2001,https://neolook.com/archives/2001040401a.jpg
20010408a,이한수展 / LEEHANSU / 李漢洙 /  video.installation,천왕성에서 온 일기예보,solo exhibition,이한수,천왕성에서 온 일기예보,무선 자동차를 이용한 설치영상,300×1200×1000cm,2001,https://neolook.com/archives/2001040802a.jpg
20010409a,원상철展 / painting,365-일상(나),solo exhibition,원상철,365-일상(나),혼합재료,25×23×6cm,2001,https://neolook.com/archives/2001040901a.jpg
20010411a,김덕용展 / KIMDUCKYONG / 金德龍 / painting,영속의 시간,solo exhibition,김덕용,결 38-15,나무에 단청기법,82.5×48cm,2001,https://neolook.com/archives/2001041101a.jpg
20010412a,1부 / 2001_0413 ▶ 2001_0520 / 월요일 휴관,60년대 이응노 꼴라주,other,이응노,구성10,한지에 꼴라주 담채,164×78cm,1962,https://neolook.com/archives/2001041201a.jpg
20010413a,정재규展 / CHONGJAEKYOO / 鄭載圭 / photography,Devant la Photo,solo exhibition,정재규,뉴욕'99,사진 판지,140×100cm,2000,https://neolook.com/archives/2001041301a.jpg
20010414a,平人 宋東鈺 書藝展,墨의 境界,exhibition,송동옥,나무,한지에 혼합재료,188×94cm,2001,https://neolook.com/archives/2001041401a.jpg
20010415a,오순환展 / OHSOONHWAN / 吳淳煥 / painting,휴휴심,solo exhibition,오순환,휴일,기성 상화에 아크릴채색,80.6×92.7cm,1999,https://neolook.com/archives/2001041501a.jpg
20010415a,오순환展 / OHSOONHWAN / 吳淳煥 / painting,휴휴심,solo exhibition,오순환,휴휴심,캔버스에 아크릴채색,210×259cm,1998,https://neolook.com/archives/2001041504a.jpg
20010418a,김선회展 / KIMSUNHOE / 金善會 / photography,Trace & Transformation,solo exhibition,김선회,Trace & Transformation,흑백인화,20×24inch,2000,https://neolook.com/archives/2001041801a.jpg
20010418b,최은경展 / CHOIEUNKYUNG / 崔殷京 / painting,시루떡 먹은 북어,solo exhibition,최은경,손 없는 날의 거울,캔버스에 유채,117×91cm,2000,https://neolook.com/archives/2001041801b.jpg
20010418b,최은경展 / CHOIEUNKYUNG / 崔殷京 / painting,시루떡 먹은 북어,solo exhibition,최은경,모호한 어원 1,캔버스에 유채,46×38cm,2000,https://neolook.com/archives/2001041802b.jpg
20010418b,최은경展 / CHOIEUNKYUNG / 崔殷京 / painting,시루떡 먹은 북어,solo exhibition,최은경,모호한 어원 2,캔버스에 유채,87×61cm,2000,https://neolook.com/archives/2001041803b.jpg
20010418b,최은경展 / CHOIEUNKYUNG / 崔殷京 / painting,시루떡 먹은 북어,solo exhibition,최은경,족보,캔버스에 유채,58×50cm,2000,https://neolook.com/archives/2001041804b.jpg
20010418b,최은경展 / CHOIEUNKYUNG / 崔殷京 / painting,시루떡 먹은 북어,solo exhibition,최은경,福-수건,캔버스에 유채,122×83cm,2001,https://neolook.com/archives/2001041805b.jpg
20010418b,최은경展 / CHOIEUNKYUNG / 崔殷京 / painting,시루떡 먹은 북어,solo exhibition,최은경,분별된 기능,캔버스에 유채,122×83cm,2001,https://neolook.com/archives/2001041806b.jpg
20010418b,최은경展 / CHOIEUNKYUNG / 崔殷京 / painting,시루떡 먹은 북어,solo exhibition,최은경,기능에 대해 봉인된 풍경,캔버스에 유채,146×112cm,2000,https://neolook.com/archives/2001041807b.jpg
20010418b,최은경展 / CHOIEUNKYUNG / 崔殷京 / painting,시루떡 먹은 북어,solo exhibition,최은경,형상의 공백,캔버스에 유채,87×61cm,2001,https://neolook.com/archives/2001041808b.jpg
20010418b,최은경展 / CHOIEUNKYUNG / 崔殷京 / painting,시루떡 먹은 북어,solo exhibition,최은경,수채구멍,캔버스에 유채,73×61cm,2000,https://neolook.com/archives/2001041809b.jpg
20010419a,지성배展 / JISUNGBAE / 池成培 / photography,HUMAN REFINERY,solo exhibition,지성배,HUMAN REFINERY,흑백인화,20×24inch,2000,https://neolook.com/archives/2001041901a.jpg
20010420a,김용철展 / KIMYONGCHUL / 金容哲 / painting,행복한 부적,solo exhibition,김용철,온수리 수탉,캔버스에 혼합재료,72.7×60.6cm,2001,https://neolook.com/archives/2001042001a.jpg
20010420a,김용철展 / KIMYONGCHUL / 金容哲 / painting,행복한 부적,solo exhibition,김용철,모란꽃,캔버스에 혼합재료,72.7×60.6cm,2001,https://neolook.com/archives/2001042002a.jpg
20010421a,한국독립애니메이션 특별展,척추 동물의 탄생,exhibition,문제대,아름다운 시절,점토 애니메이션,00:06:40,2000,https://neolook.com/archives/2001042101a.jpg
20010421a,한국독립애니메이션 특별展,척추 동물의 탄생,exhibition,홍성담,탈옥,2D 애니메이션,00:04:10,1999,https://neolook.com/archives/2001042102a.jpg
20010421a,한국독립애니메이션 특별展,척추 동물의 탄생,exhibition,곽은숙,나혜석괴담,필름에 에칭,00:03:22,2001,https://neolook.com/archives/2001042103a.jpg
20010422a,배정은 회화展,Jigsaw Puzzle,exhibition,배정은,Jigsaw puzzle 00-8,종이에 아크릴채색,95.5×122cm,2000,https://neolook.com/archives/2001042201a.jpg
20010426a,2001_0421 ▶ 2001_0501,PowerPowder,other,이필두,Everybody is Perfect,단채널 비디오 영상, 00:05:56,2001,https://neolook.com/archives/2001042601a.jpg
20010428a,이창희 영상설치展,@rt,exhibition,이창희,@rt,단채널 영상,00:02:20,2001,https://neolook.com/archives/2001042801a.jpg
20010428a,이창희 영상설치展,@rt,exhibition,이창희,@rt,단채널 영상,00:02:20,2001,https://neolook.com/archives/2001042802a.jpg
20010501a,한일 디자인의 새로운 흐름展,Active Wire,exhibition,김두섭,통일,종이에 인쇄,1995,부분,https://neolook.com/archives/2001050103a.jpg
20010503a,최소연 회화展,얍!,exhibition,최소연,얍 6. 물,종이에 잉크,22×29cm,2000,https://neolook.com/archives/2001050301a.jpg
