20130102a,염지희展 / YEOMJIHEE / 廉智嬉 / painting,From Hysteria - To the Stage of Drive,solo exhibition,염지희,When Strangers Meet in the silence park,종이에 혼합재료,112.1×162.2cm,2012,https://neolook.com/archives/2013010201a.jpg
20130102a,염지희展 / YEOMJIHEE / 廉智嬉 / painting,From Hysteria - To the Stage of Drive,solo exhibition,염지희,Before the dust wall,종이에 혼합재료,130.3×162.2cm,2012,https://neolook.com/archives/2013010202a.jpg
20130102a,염지희展 / YEOMJIHEE / 廉智嬉 / painting,From Hysteria - To the Stage of Drive,solo exhibition,염지희,Happening in your moment of decision,종이에 혼합재료,112.1×162.2cm,2012,https://neolook.com/archives/2013010203a.jpg
20130102a,염지희展 / YEOMJIHEE / 廉智嬉 / painting,From Hysteria - To the Stage of Drive,solo exhibition,염지희,Hysteria in silence,섬유에 혼합재료,40.9×31.8cm,2012,https://neolook.com/archives/2013010204a.jpg
20130102a,염지희展 / YEOMJIHEE / 廉智嬉 / painting,From Hysteria - To the Stage of Drive,solo exhibition,염지희,Light them in the mistery stage,종이에 혼합재료,112.1×162.2cm,2011,https://neolook.com/archives/2013010205a.jpg
20130102a,염지희展 / YEOMJIHEE / 廉智嬉 / painting,From Hysteria - To the Stage of Drive,solo exhibition,염지희,Ophelia's chess board,종이에 혼합재료,112.1×162.2cm,2012,https://neolook.com/archives/2013010206a.jpg
20130102c,2013_0102 ▶ 2013_0117,Distance,other,곽휘곤,부유(Drift),혼합재료,30×30×5cm,2012,https://neolook.com/archives/2013010203c.jpg
20130102d,2013 공모당선展,New Generation,exhibition,강덕봉,Disguise 16,Pvc 파이프 우레탄 페인트,25×110×7cm,2012,https://neolook.com/archives/2013010202d.jpg
20130102d,2013 공모당선展,New Generation,exhibition,이지은,기억하기,E.V.A,90×210×13cm,2011,https://neolook.com/archives/2013010204d.jpg
20130102d,2013 공모당선展,New Generation,exhibition,장입규,Flughafen in Duesseldorf,사진 종이,125×190cm,2012,https://neolook.com/archives/2013010205d.jpg
20130102d,2013 공모당선展,New Generation,exhibition,캐스퍼 강,DISILLUSIONMENT I,캔버스에 아크릴채색 스크린 잉크,65×90cm,2012,https://neolook.com/archives/2013010206d.jpg
