20050103a,재미있는 미술展,Give & Take,exhibition,신예선,Octopus,인조 머리카락 음파 응답기,가변크기,2005,https://neolook.com/archives/2005010304a.jpg
20050103a,재미있는 미술展,Give & Take,exhibition,이석영,insert coin-작가와 여자친구,합성수지 센서 모터 스피커,실물크기,2004,https://neolook.com/archives/2005010307a.jpg
20050105a,나수연 개인展,Play as Alice,exhibition,나수연,앨리스놀이,장지에 디지털 프린트와 수간채색,150×130cm,2004,https://neolook.com/archives/2005010501a.jpg
20050105a,나수연 개인展,Play as Alice,exhibition,나수연,날개소리를 듣다,장지에 디지털 프린트와 수간채색,150×130cm,2004,https://neolook.com/archives/2005010502a.jpg
20050105a,나수연 개인展,Play as Alice,exhibition,나수연,제강Ⅱ,장지에 디지털 프린트와 수간채색,115×85cm,2004,https://neolook.com/archives/2005010503a.jpg
20050105a,나수연 개인展,Play as Alice,exhibition,나수연,미로,장지에 디지털 프린트와 수간채색,60×72cm,2004,https://neolook.com/archives/2005010504a.jpg
20050105a,나수연 개인展,Play as Alice,exhibition,나수연,Three Types of Perfect Anime Girls,디지털 프린트,80×130cm,2004,/archives/2005010505a.gif
20050106a,최은경展 / CHOIEUNKYUNG / 崔殷京 / painting,모호한 어원,solo exhibition,최은경,방안에 있음,캔버스에 유채,162×130cm,2004,https://neolook.com/archives/2005010601a.jpg
20050106a,최은경展 / CHOIEUNKYUNG / 崔殷京 / painting,모호한 어원,solo exhibition,최은경,발축전-거울,캔버스에 유채,162×112cm,2003,https://neolook.com/archives/2005010602a.jpg
20050106a,최은경展 / CHOIEUNKYUNG / 崔殷京 / painting,모호한 어원,solo exhibition,최은경,손 없는 날의 거울,캔버스에 유채,117×91cm,2000,https://neolook.com/archives/2005010603a.jpg
20050106a,최은경展 / CHOIEUNKYUNG / 崔殷京 / painting,모호한 어원,solo exhibition,최은경,福-수건,캔버스에 유채,122×83cm,2001,https://neolook.com/archives/2005010604a.jpg
20050106a,최은경展 / CHOIEUNKYUNG / 崔殷京 / painting,모호한 어원,solo exhibition,최은경,각인된 염,캔버스에 유채,60×54cm,1999,https://neolook.com/archives/2005010605a.jpg
20050106a,최은경展 / CHOIEUNKYUNG / 崔殷京 / painting,모호한 어원,solo exhibition,최은경,창문,캔버스에 유채,73×100cm,2004,https://neolook.com/archives/2005010606a.jpg
20050106a,최은경展 / CHOIEUNKYUNG / 崔殷京 / painting,모호한 어원,solo exhibition,최은경,습성에 대한 불안,캔버스에 유채,87×61cm,2000,https://neolook.com/archives/2005010607a.jpg
20050106a,최은경展 / CHOIEUNKYUNG / 崔殷京 / painting,모호한 어원,solo exhibition,최은경,수채구멍,캔버스에 유채,24×34cm,2003,https://neolook.com/archives/2005010608a.jpg
20050106a,최은경展 / CHOIEUNKYUNG / 崔殷京 / painting,모호한 어원,solo exhibition,최은경,환하고 아픈 자리,캔버스에 유채,61×54cm,2000,https://neolook.com/archives/2005010609a.jpg
20050106a,최은경展 / CHOIEUNKYUNG / 崔殷京 / painting,모호한 어원,solo exhibition,최은경,느리게 시들어가는 소리,캔버스에 유채,122×83cm,1999,https://neolook.com/archives/2005010610a.jpg
20050107a,이영선_이원영_이지선_정미경展,카오스로 소통하기,exhibition,이영선,108 forms of thought I,캔버스에 혼합재료,162×130cm,2003,https://neolook.com/archives/2005010701a.jpg
20050107a,이영선_이원영_이지선_정미경展,카오스로 소통하기,exhibition,이영선,박스핀랭귀지전반을위한아이디어스케치모음,종이에 펜,42×90cm,2004,https://neolook.com/archives/2005010702a.jpg
20050107a,이영선_이원영_이지선_정미경展,카오스로 소통하기,exhibition,이영선,코러스,캔버스에 혼합재료,162×130cm,2004,https://neolook.com/archives/2005010703a.jpg
20050107a,이영선_이원영_이지선_정미경展,카오스로 소통하기,exhibition,이원영,가족이라는 이름으로,캔버스에 유채 설치,210×520×50cm,2004,https://neolook.com/archives/2005010706a.jpg
20050107a,이영선_이원영_이지선_정미경展,카오스로 소통하기,exhibition,이지선,3305개의 yellow-손흔들다,캔버스에 아크릴 채색 LCD DVD,229×223cm,2004,https://neolook.com/archives/2005010707a.jpg
20050107a,이영선_이원영_이지선_정미경展,카오스로 소통하기,exhibition,이지선,pink blue green,캔버스에 유채,114×310cm,2004,/archives/2005010708a.gif
20050107a,이영선_이원영_이지선_정미경展,카오스로 소통하기,exhibition,정미경,중력 IⅡ,캔버스에 유채,144×175cm,2004,https://neolook.com/archives/2005010710a.jpg
20050107a,이영선_이원영_이지선_정미경展,카오스로 소통하기,exhibition,정미경,중력과 사물의 관계,캔버스에 유채,91×117cm,2003,https://neolook.com/archives/2005010711a.jpg
20050109a,조현예 회화.영상展,Visual Ayurveda-보여진 향기,exhibition,조현예,호소하다,캔버스에 아이샤도우 펄안료 등 혼합재료,130×194cm,2004,https://neolook.com/archives/2005010901a.jpg
20050109a,조현예 회화.영상展,Visual Ayurveda-보여진 향기,exhibition,조현예,성장하다,캔버스에 아이샤도우 펄안료 등 혼합재료,130×194cm,2004,https://neolook.com/archives/2005010902a.jpg
20050109a,조현예 회화.영상展,Visual Ayurveda-보여진 향기,exhibition,조현예,관망하다,캔버스에 아이샤도우 펄안료 등 혼합재료,130×194cm,2004,https://neolook.com/archives/2005010903a.jpg
20050109a,조현예 회화.영상展,Visual Ayurveda-보여진 향기,exhibition,조현예,갈망하다,캔버스에 아이샤도우 펄안료 등 혼합재료,130×194cm,2004,https://neolook.com/archives/2005010904a.jpg
